Date,Heure,kWh,AvgTemp,Season,Screens Plug
2019-05-27,04,0.42,8,Spring,No
2019-05-27,05,0.72,10,Spring,No
2019-05-27,06,0.38,10,Spring,No
2019-05-27,07,2.04,10,Spring,No
2019-05-27,08,0.66,11,Spring,No
2019-05-27,09,0.91,11,Spring,No
2019-05-27,10,0.57,13,Spring,No
2019-05-27,11,1.73,14,Spring,No
2019-05-27,12,1.31,15,Spring,No
2019-05-27,13,0.71,15,Spring,No
2019-05-27,14,0.94,15,Spring,No
2019-05-27,15,0.79,15,Spring,No
2019-05-27,16,0.67,15,Spring,No
2019-05-27,17,0.96,14,Spring,No
2019-05-27,18,0.63,12,Spring,No
2019-05-27,19,0.63,9,Spring,No
2019-05-27,20,1.68,7,Spring,No
2019-05-27,21,1.07,6,Spring,No
2019-05-27,22,1.77,6,Spring,No
2019-05-27,23,1.72,6,Spring,No
2019-05-28,00,1.38,4,Spring,No
2019-05-28,01,1.24,4,Spring,No
2019-05-28,02,0.59,3,Spring,No
2019-05-28,03,0.23,3,Spring,No
2019-05-28,04,0.26,3,Spring,No
2019-05-28,05,0.57,6,Spring,No
2019-05-28,06,1.28,8,Spring,No
2019-05-28,07,0.58,10,Spring,No
2019-05-28,08,0.27,12,Spring,No
2019-05-28,09,3.95,13,Spring,No
2019-05-28,10,3.3,15,Spring,No
2019-05-28,11,0.53,16,Spring,No
2019-05-28,12,1,16,Spring,No
2019-05-28,13,0.51,17,Spring,No
2019-05-28,14,0.91,17,Spring,No
2019-05-28,15,0.52,16,Spring,No
2019-05-28,16,0.4,16,Spring,No
2019-05-28,17,0.61,16,Spring,No
2019-05-28,18,0.52,14,Spring,No
2019-05-28,19,0.33,11,Spring,No
2019-05-28,20,0.67,9,Spring,No
2019-05-28,21,0.71,8,Spring,No
2019-05-28,22,1.72,6,Spring,No
2019-05-28,23,1.32,5,Spring,No
2019-05-29,00,0.95,5,Spring,No
2019-05-29,01,0.19,4,Spring,No
2019-05-29,02,0.24,4,Spring,No
2019-05-29,03,0.46,3,Spring,No
2019-05-29,04,0.23,5,Spring,No
2019-05-29,05,0.81,8,Spring,No
2019-05-29,06,2.53,10,Spring,No
2019-05-29,07,0.6,12,Spring,No
2019-05-29,08,0.53,13,Spring,No
2019-05-29,09,0.21,14,Spring,No
2019-05-29,10,0.21,15,Spring,No
2019-05-29,11,3.38,16,Spring,No
2019-05-29,12,0.86,16,Spring,No
2019-05-29,13,1.03,16,Spring,No
2019-05-29,14,0.67,16,Spring,No
2019-05-29,15,0.6,17,Spring,No
2019-05-29,16,0.97,16,Spring,No
2019-05-29,17,0.66,16,Spring,No
2019-05-29,18,2.29,13,Spring,No
2019-05-29,19,2.43,12,Spring,No
2019-05-29,20,1.99,10,Spring,No
2019-05-29,21,1.05,9,Spring,No
2019-05-29,22,1.68,9,Spring,No
2019-05-29,23,3.51,9,Spring,No
2019-05-30,00,2.69,10,Spring,No
2019-05-30,01,0.74,11,Spring,No
2019-05-30,02,0.3,10,Spring,No
2019-05-30,03,0.67,10,Spring,No
2019-05-30,04,0.3,10,Spring,No
2019-05-30,05,0.37,11,Spring,No
2019-05-30,06,1.25,12,Spring,No
2019-05-30,07,0.42,13,Spring,No
2019-05-30,08,0.95,14,Spring,No
2019-05-30,09,0.89,14,Spring,No
2019-05-30,10,0.65,14,Spring,No
2019-05-30,11,1.09,13,Spring,No
2019-05-30,12,1.12,14,Spring,No
2019-05-30,13,3.35,16,Spring,No
2019-05-30,14,1.28,18,Spring,No
2019-05-30,15,0.97,20,Spring,No
